"Frequently Occurring Surnames in the 2010 Census: Top 1,000 Surnames ",,,,,,,,,,
,,,,,,,,,,
SURNAME,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,PERCENT NON-HISPANIC OR LATINO WHITE ALONE,PERCENT NON-HISPANIC OR LATINO BLACK OR AFRICAN AMERICAN ALONE,PERCENT NON-HISPANIC OR LATINO ASIAN AND NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE,PERCENT NON-HISPANIC OR LATINO AMERICAN INDIAN AND ALASKA NATIVE ALONE,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,PERCENT HISPANIC OR LATINO ORIGIN
LAMB,561,"59,913",20.3,"34,233.2",86.1,8.6,0.7,0.5,1.7,2.3
TREVINO,562,"59,882",20.3,"34,253.5",7.8,0.3,0.2,0.4,0.2,91.1
MCKENZIE,563,"59,595",20.2,"34,273.7",64.6,28.6,0.7,0.7,2.3,3.0
HESS,564,"59,486",20.2,"34,293.9",94.6,0.9,0.6,0.5,1.4,2.0
BEIL,565,"59,463",20.2,"34,314.1",62.1,32.1,0.3,0.9,2.3,2.3
OLSEN,566,"59,356",20.1,"34,334.2",93.7,0.3,0.8,0.8,1.8,2.7
COCHRAN,567,"59,350",20.1,"34,354.3",85.3,9.1,0.5,1.2,1.7,2.2
MORTON,568,"59,213",20.1,"34,374.4",74.0,19.7,0.7,0.9,2.3,2.5
NASH,569,"58,714",19.9,"34,394.3",69.3,24.6,0.5,0.8,2.4,2.3
WILKINS,570,"58,634",19.9,"34,414.2",63.1,30.6,0.4,0.9,2.4,2.7
PETERSEN,571,"58,480",19.8,"34,434.0",93.4,1.3,0.8,0.4,1.6,2.5
BRIGGS,572,"58,408",19.8,"34,453.8",75.9,18.6,0.5,0.7,2.1,2.2
SHAH,573,"58,287",19.8,"34,473.5",3.6,0.9,91.7,0.3,2.7,0.7
ROTH,574,"58,278",19.8,"34,493.3",94.9,0.5,0.9,0.3,1.2,2.3
NICHOLSON,575,"58,151",19.7,"34,513.0",74.3,19.9,0.5,0.6,2.2,2.5
HOLLOWAY,576,"58,040",19.7,"34,532.7",58.3,36.1,0.4,0.6,2.5,2.1
LOZANO,577,"57,779",19.6,"34,552.3",6.0,0.3,1.6,0.2,0.3,91.7
RANGEL,578,"57,549",19.5,"34,571.8",6.0,0.3,0.3,0.2,0.2,93.0
FLOWERS,578,"57,549",19.5,"34,591.3",53.1,40.3,0.4,0.6,2.8,2.8
HOOVER,580,"57,497",19.5,"34,610.8",92.0,3.4,0.6,0.6,1.5,1.9
SHORT,581,"57,477",19.5,"34,630.3",84.1,10.2,0.6,0.9,2.0,2.2
ARIAS,581,"57,477",19.5,"34,649.8",5.1,0.4,1.1,0.1,0.2,93.1
MORA,583,"57,464",19.5,"34,669.2",7.4,0.5,1.1,0.3,0.3,90.6
VALENZUELA,584,"57,383",19.5,"34,688.7",5.0,0.2,2.4,1.7,0.4,90.4
BRYAN,585,"57,143",19.4,"34,708.1",81.3,11.8,0.6,0.6,1.8,3.8
MEYERS,586,"57,127",19.4,"34,727.4",89.8,4.6,0.8,0.6,1.8,2.4
WEISS,587,"57,112",19.4,"34,746.8",95.6,0.4,0.7,0.2,1.0,2.2
UNDERWOOD,588,"57,064",19.4,"34,766.1",79.2,15.0,0.5,1.1,2.0,2.2
BASS,589,"57,044",19.3,"34,785.5",69.2,24.5,0.5,0.8,2.3,2.7
GREER,590,"57,043",19.3,"34,804.8",73.3,21.3,0.5,0.5,2.1,2.4
SUMMERS,591,"56,953",19.3,"34,824.1",78.9,14.8,0.5,1.1,2.3,2.3
HOUSTON,592,"56,900",19.3,"34,843.4",52.1,41.5,0.5,0.6,2.8,2.5
CARSON,593,"56,872",19.3,"34,862.7",72.3,21.7,0.6,0.8,2.3,2.4
MORROW,594,"56,840",19.3,"34,882.0",79.9,14.7,0.5,0.7,2.0,2.2
CLAYTON,595,"56,638",19.2,"34,901.2",69.1,25.5,0.5,0.5,2.2,2.2
WHITAKER,596,"56,616",19.2,"34,920.3",70.7,24.3,0.5,0.5,2.0,2.0
DECKER,597,"56,576",19.2,"34,939.5",94.0,0.9,0.5,0.6,1.6,2.5
YODER,598,"56,410",19.1,"34,958.7",97.8,0.2,0.2,0.2,0.7,0.9
COLLIER,599,"56,380",19.1,"34,977.8",67.0,27.4,0.5,0.6,2.4,2.2
ZUNIGA,600,"56,347",19.1,"34,996.9",4.5,0.5,0.8,0.2,0.2,93.9
CAREY,601,"56,322",19.1,"35,016.0",80.9,13.5,0.6,0.7,2.1,2.3
WILCOX,602,"56,286",19.1,"35,035.0",83.9,10.4,0.6,0.8,1.9,2.5
MELENDEZ,603,"56,230",19.1,"35,054.1",5.0,1.0,0.5,0.2,0.3,93.1
POOLE,604,"56,226",19.1,"35,073.2",72.6,22.7,0.5,0.4,2.0,1.9
ROBERSON,605,"56,180",19.1,"35,092.2",51.3,42.8,0.4,0.5,2.7,2.2
LARSEN,606,"55,960",19.0,"35,111.2",94.2,0.5,0.8,0.7,1.5,2.4
CONLEY,607,"55,917",19.0,"35,130.1",79.8,15.4,0.4,0.6,2.0,1.9
DAVENPORT,608,"55,895",19.0,"35,149.1",71.8,22.3,0.5,0.7,2.4,2.4
COPELAND,609,"55,850",18.9,"35,168.0",65.9,28.3,0.5,0.7,2.4,2.3
MASSEY,610,"55,595",18.9,"35,186.9",73.2,20.4,1.1,1.1,2.0,2.3
LAM,611,"55,554",18.8,"35,205.7",6.8,0.6,88.0,0.1,2.0,2.6
HUFF,612,"55,484",18.8,"35,224.5",81.4,13.4,0.5,0.7,1.9,2.1
ROCHA,613,"55,251",18.7,"35,243.2",16.5,0.8,0.8,0.3,0.5,81.1
CAMERON,614,"55,240",18.7,"35,262.0",75.5,17.9,0.7,0.7,2.1,3.1
JEFFERSON,615,"55,179",18.7,"35,280.7",17.5,74.2,0.4,1.9,3.5,2.5
HOOD,616,"55,174",18.7,"35,299.4",74.1,20.2,0.5,1.0,2.1,2.2
MONROE,617,"55,136",18.7,"35,318.1",62.9,29.3,0.5,1.5,2.5,3.3
ANTHONY,618,"55,114",18.7,"35,336.8",59.8,31.9,1.5,0.6,2.3,3.8
PITTMAN,619,"55,021",18.7,"35,355.4",63.6,31.3,0.4,0.7,2.1,2.0
HUYNH,620,"54,996",18.6,"35,374.1",0.8,0.1,96.7,0.0,1.7,0.7
RANDALL,621,"54,764",18.6,"35,392.6",74.7,19.1,0.6,1.2,2.2,2.3
SINGLETON,622,"54,621",18.5,"35,411.1",45.9,48.6,0.4,0.4,2.5,2.2
KIRK,623,"54,394",18.4,"35,429.6",82.4,10.6,1.3,1.4,2.1,2.3
COMBS,624,"54,257",18.4,"35,448.0",86.1,9.1,0.5,0.6,1.9,1.9
MATHIS,625,"54,217",18.4,"35,466.3",61.9,32.7,0.3,0.6,2.2,2.3
CHRISTIAN,626,"54,198",18.4,"35,484.7",66.4,24.6,2.3,0.6,2.5,3.6
SKINNER,627,"54,046",18.3,"35,503.0",79.3,15.0,0.5,0.7,2.0,2.5
BRADFORD,628,"54,015",18.3,"35,521.4",64.8,29.1,0.5,0.6,2.5,2.5
RICHARD,629,"53,893",18.3,"35,539.6",70.4,23.5,0.9,0.6,2.0,2.8
GALVAN,630,"53,822",18.3,"35,557.9",6.1,0.3,0.8,0.4,0.2,92.3
WALL,631,"53,794",18.2,"35,576.1",86.1,8.2,0.8,0.8,1.8,2.3
BOONE,632,"53,792",18.2,"35,594.3",62.4,31.0,0.5,1.4,2.4,2.4
KIRBY,633,"53,767",18.2,"35,612.6",85.9,9.2,0.5,0.7,1.8,1.9
WILKINSON,634,"53,739",18.2,"35,630.8",88.2,6.5,0.6,0.6,1.7,2.4
BRIDGES,635,"53,682",18.2,"35,649.0",67.7,27.1,0.5,0.5,2.2,2.1
BRUCE,636,"53,419",18.1,"35,667.1",77.4,15.9,0.7,1.1,2.2,2.7
ATKINSON,637,"53,376",18.1,"35,685.2",79.3,14.0,0.6,0.6,1.7,3.9
VELEZ,638,"53,265",18.1,"35,703.2",6.8,0.9,0.9,0.1,0.3,91.0
MEZA,639,"53,230",18.1,"35,721.3",3.7,0.3,0.2,0.2,0.1,95.5
ROY,640,"53,159",18.0,"35,739.3",75.2,9.0,9.7,1.5,2.0,2.6
VINCENT,641,"53,095",18.0,"35,757.3",78.9,14.0,1.4,0.6,2.0,3.1
YORK,642,"53,059",18.0,"35,775.3",85.8,8.0,0.9,1.0,2.0,2.3
HODGE,643,"52,920",17.9,"35,793.2",68.7,24.9,0.4,0.7,2.4,2.9
VILLA,644,"52,817",17.9,"35,811.1",8.1,0.4,2.1,0.3,0.4,88.7
ABBOTT,645,"52,739",17.9,"35,829.0",89.5,4.9,0.7,0.7,1.8,2.5
ALLISON,646,"52,701",17.9,"35,846.9",80.7,13.1,0.6,1.3,2.0,2.3
TAPIA,647,"52,651",17.9,"35,864.7",4.9,0.3,0.7,0.4,0.2,93.5
GATES,648,"52,569",17.8,"35,882.6",75.0,19.1,0.6,0.8,2.1,2.4
CHASE,649,"52,481",17.8,"35,900.4",81.8,11.4,0.7,1.5,2.1,2.5
SOSA,650,"52,457",17.8,"35,918.1",5.1,0.5,0.7,0.2,0.2,93.3
SWEENEY,651,"52,410",17.8,"35,935.9",90.6,4.8,0.6,0.4,1.3,2.4
FARRELL,652,"52,321",17.7,"35,953.6",89.9,4.8,0.7,0.5,1.4,2.7
WYATT,653,"52,211",17.7,"35,971.3",75.7,18.6,0.4,0.7,2.1,2.5
DALTON,654,"52,184",17.7,"35,989.0",86.8,7.7,0.6,0.7,1.9,2.3
HORN,655,"52,138",17.7,"36,006.7",85.2,8.7,1.0,1.2,1.8,2.2
BARRON,656,"52,070",17.7,"36,024.4",46.4,8.8,0.7,0.4,1.2,42.5
PHELPS,657,"52,044",17.6,"36,042.0",85.1,9.7,0.5,0.6,1.8,2.3
YU,658,"52,035",17.6,"36,059.6",1.5,0.1,96.1,0.0,1.6,0.7
DICKERSON,659,"51,889",17.6,"36,077.2",63.0,31.6,0.4,0.4,2.5,2.1
HEATH,660,"51,877",17.6,"36,094.8",80.3,14.4,0.5,0.8,1.8,2.2
FOLEY,661,"51,865",17.6,"36,112.4",92.1,3.3,0.7,0.3,1.5,2.1
ATKINS,662,"51,671",17.5,"36,129.9",67.6,26.7,0.5,0.6,2.4,2.2
MATHEWS,663,"51,592",17.5,"36,147.4",74.6,15.4,4.2,0.7,2.2,2.8
BONILLA,664,"51,475",17.5,"36,164.9",4.5,0.7,1.2,0.2,0.3,93.2
ACEVEDO,665,"51,351",17.4,"36,182.3",5.1,0.6,0.4,0.2,0.2,93.5
BENITEZ,666,"51,288",17.4,"36,199.7",3.8,0.5,1.6,0.1,0.2,93.9
ZAVALA,667,"51,153",17.3,"36,217.0",3.3,0.2,0.2,0.1,0.1,96.1
HENSLEY,668,"51,081",17.3,"36,234.3",92.8,1.9,0.5,1.0,1.8,2.1
GLENN,669,"51,043",17.3,"36,251.6",61.4,32.8,0.5,0.6,2.4,2.3
CISNEROS,670,"50,920",17.3,"36,268.9",4.6,0.2,0.2,0.1,0.2,94.7
HARRELL,671,"50,837",17.2,"36,286.1",66.1,28.8,0.4,0.5,2.2,2.0
SHIELDS,672,"50,832",17.2,"36,303.3",75.8,18.5,0.6,1.0,1.9,2.2
RUBIO,673,"50,788",17.2,"36,320.6",5.4,0.3,1.8,0.3,0.3,92.0
HUFFMAN,674,"50,786",17.2,"36,337.8",91.2,4.3,0.5,0.5,1.6,1.9
CHOI,674,"50,786",17.2,"36,355.0",1.6,0.3,96.1,0.0,1.5,0.5
BOYER,676,"50,742",17.2,"36,372.2",88.8,5.5,0.6,0.6,1.9,2.7
GARRISON,677,"50,686",17.2,"36,389.4",83.1,11.0,0.5,0.8,2.1,2.5
ARROYO,678,"50,614",17.2,"36,406.5",4.6,0.6,1.1,0.1,0.2,93.3
BOND,679,"50,610",17.2,"36,423.7",75.9,17.9,0.6,0.9,2.3,2.4
KANE,680,"50,584",17.2,"36,440.8",89.1,4.6,1.7,0.5,1.8,2.4
HANCOCK,681,"50,558",17.1,"36,458.0",87.3,7.7,0.5,0.6,1.7,2.2
CALLAHAN,682,"50,524",17.1,"36,475.1",89.8,5.3,0.6,0.5,1.6,2.2
DILLON,683,"50,465",17.1,"36,492.2",84.4,9.7,0.7,1.0,1.7,2.6
CLINE,684,"50,258",17.0,"36,509.3",92.9,2.2,0.5,0.9,1.6,2.0
WIGGINS,685,"50,247",17.0,"36,526.3",54.7,39.6,0.3,0.7,2.4,2.3
GRIMES,686,"50,245",17.0,"36,543.3",74.9,19.5,0.4,0.6,2.2,2.5
ARELLANO,687,"50,104",17.0,"36,560.3",4.5,0.1,2.6,0.3,0.4,92.1
MELTON,688,"50,069",17.0,"36,577.3",79.8,14.2,0.5,1.1,2.1,2.3
ONEILL,689,"50,028",17.0,"36,594.2",92.7,0.9,0.8,0.3,1.4,4.0
SAVAGE,690,"49,914",16.9,"36,611.2",74.8,19.6,0.5,0.8,2.1,2.2
HO,691,"49,817",16.9,"36,628.1",2.4,0.2,93.1,0.0,3.2,1.1
BELTRAN,692,"49,776",16.9,"36,644.9",4.9,0.4,3.3,0.2,0.3,90.9
PITTS,693,"49,740",16.9,"36,661.8",63.2,31.4,0.5,0.5,2.3,2.1
PARRISH,694,"49,733",16.9,"36,678.7",80.2,14.2,0.5,1.3,1.8,2.0
PONCE,695,"49,549",16.8,"36,695.4",5.1,0.4,2.0,0.2,0.4,91.9
RICH,696,"49,481",16.8,"36,712.2",85.2,9.3,0.7,0.6,1.9,2.4
BOOTH,697,"49,402",16.8,"36,729.0",83.4,10.8,0.6,1.1,1.8,2.3
KOCH,698,"49,395",16.8,"36,745.7",95.3,0.3,0.7,0.3,1.1,2.3
GOLDEN,699,"49,360",16.7,"36,762.4",74.7,19.9,0.5,0.6,2.0,2.3
WARE,700,"49,316",16.7,"36,779.2",48.7,44.9,0.5,0.8,2.8,2.4
BRENNAN,701,"49,238",16.7,"36,795.9",94.6,0.8,0.8,0.2,1.3,2.3
MCDOWELL,702,"49,217",16.7,"36,812.5",69.7,24.9,0.5,0.6,2.1,2.3
MARKS,703,"49,177",16.7,"36,829.2",79.9,14.0,0.7,0.9,1.9,2.5
CANTU,704,"49,126",16.7,"36,845.9",7.9,0.6,0.2,0.2,0.2,90.9
HUMPHREY,705,"49,056",16.6,"36,862.5",71.3,23.2,0.5,0.7,2.1,2.3
BAXTER,706,"49,033",16.6,"36,879.1",80.4,13.9,0.6,0.6,2.1,2.5
SAWYER,707,"49,028",16.6,"36,895.7",80.8,13.6,0.7,0.6,2.0,2.3
CLAY,708,"48,844",16.6,"36,912.3",52.7,40.5,0.5,0.9,2.9,2.4
TANNER,709,"48,813",16.6,"36,928.8",82.8,10.9,0.6,1.1,2.2,2.3
HUTCHINSON,710,"48,781",16.5,"36,945.4",75.4,18.5,0.7,0.7,2.2,2.5
KAUR,711,"48,753",16.5,"36,961.9",1.1,0.3,96.1,0.6,1.5,0.4
BERG,712,"48,746",16.5,"36,978.4",94.7,0.4,0.7,0.5,1.4,2.3
WILEY,713,"48,720",16.5,"36,995.0",65.7,28.7,0.5,0.6,2.3,2.2
GILMORE,714,"48,719",16.5,"37,011.5",65.4,28.1,0.5,0.9,2.6,2.6
RUSSO,715,"48,696",16.5,"37,028.0",93.9,0.4,0.5,0.1,0.9,4.1
VILLEGAS,716,"48,599",16.5,"37,044.5",4.0,0.3,3.2,0.2,0.4,91.9
HOBBS,717,"48,522",16.5,"37,060.9",79.1,15.5,0.4,0.8,2.0,2.3
KEITH,718,"48,487",16.4,"37,077.3",79.3,14.5,0.7,1.1,2.1,2.3
WILKERSON,719,"48,444",16.4,"37,093.8",64.7,29.4,0.5,0.6,2.6,2.3
AHMED,720,"48,319",16.4,"37,110.1",15.7,22.0,56.5,0.4,4.0,1.4
BEARD,721,"48,207",16.3,"37,126.5",74.9,19.6,0.5,0.7,2.0,2.4
MCCLAIN,722,"48,165",16.3,"37,142.8",61.1,33.1,0.4,0.5,2.6,2.4
MONTES,723,"48,142",16.3,"37,159.1",5.5,0.7,0.8,0.3,0.2,92.6
MATA,724,"48,120",16.3,"37,175.5",5.9,0.3,2.6,0.3,0.5,90.4
ROSARIO,725,"48,051",16.3,"37,191.7",5.7,1.8,4.5,0.1,0.8,87.0
VANG,726,"48,036",16.3,"37,208.0",1.4,(S),96.7,(S),1.4,0.4
WALTER,727,"48,024",16.3,"37,224.3",88.6,6.2,0.9,0.5,1.4,2.3
HENSON,728,"48,013",16.3,"37,240.6",82.1,10.8,1.0,1.3,2.5,2.4
ONEAL,729,"47,979",16.3,"37,256.8",64.6,29.2,0.4,0.7,2.6,2.5
MOSLEY,730,"47,963",16.3,"37,273.1",40.5,53.2,0.3,0.6,3.2,2.3
MCCLURE,731,"47,742",16.2,"37,289.3",84.6,9.7,0.6,0.8,1.9,2.3
BEASLEY,732,"47,693",16.2,"37,305.5",67.0,27.6,0.4,0.7,2.3,2.0
STEPHENSON,733,"47,641",16.2,"37,321.6",80.1,14.0,0.6,0.7,2.0,2.7
SNOW,734,"47,528",16.1,"37,337.7",85.0,9.0,0.6,1.4,2.1,1.9
HUERTA,735,"47,455",16.1,"37,353.8",3.8,0.2,0.3,0.1,0.1,95.5
PRESTON,736,"47,367",16.1,"37,369.9",73.2,20.4,0.6,1.1,2.3,2.5
VANCE,737,"47,324",16.0,"37,385.9",81.6,12.9,0.6,0.7,1.9,2.4
BARRY,738,"47,274",16.0,"37,401.9",84.5,10.5,0.8,0.4,1.4,2.5
JOHNS,739,"47,246",16.0,"37,418.0",79.8,12.8,0.8,2.0,2.2,2.5
EATON,740,"47,184",16.0,"37,433.9",85.1,9.6,0.5,0.8,1.7,2.3
BLACKWELL,741,"47,175",16.0,"37,449.9",65.7,28.5,0.4,0.8,2.6,2.1
DYER,742,"47,170",16.0,"37,465.9",83.2,11.4,0.5,0.7,1.8,2.5
PRINCE,743,"47,168",16.0,"37,481.9",66.4,26.5,0.7,0.9,2.4,3.1
MACDONALD,744,"46,717",15.8,"37,497.8",93.7,1.1,0.9,0.4,1.6,2.4
SOLOMON,745,"46,534",15.8,"37,513.5",57.8,32.1,3.1,1.4,2.4,3.2
GUEVARA,746,"46,454",15.8,"37,529.3",4.3,0.5,2.7,0.2,0.3,91.9
STAFFORD,747,"46,394",15.7,"37,545.0",79.1,15.1,0.5,0.9,2.2,2.2
ENGLISH,748,"46,393",15.7,"37,560.7",71.4,22.4,0.7,0.6,2.5,2.4
HURST,749,"46,244",15.7,"37,576.4",84.5,10.5,0.5,0.5,1.8,2.2
WOODARD,750,"46,240",15.7,"37,592.1",59.9,34.6,0.5,0.6,2.2,2.2
CORTES,751,"46,229",15.7,"37,607.8",4.8,0.4,2.1,0.1,0.2,92.4
SHANNON,752,"46,147",15.6,"37,623.4",75.2,19.5,0.5,0.4,2.0,2.4
KEMP,753,"46,146",15.6,"37,639.1",71.7,22.8,0.5,0.7,2.2,2.1
NOLAN,754,"46,054",15.6,"37,654.7",86.9,7.4,0.6,0.6,1.7,2.9
MCCULLOUGH,755,"45,852",15.5,"37,670.2",73.3,21.2,0.5,0.5,2.0,2.6
MERRITT,756,"45,594",15.5,"37,685.7",75.1,19.7,0.5,0.7,2.0,2.1
MURILLO,757,"45,558",15.4,"37,701.1",4.4,0.4,0.9,0.3,0.2,93.8
MOON,758,"45,528",15.4,"37,716.5",65.7,10.0,19.1,1.0,2.2,2.0
SALGADO,759,"45,469",15.4,"37,732.0",4.1,0.3,1.2,0.3,0.2,93.9
STRONG,760,"45,432",15.4,"37,747.4",66.8,25.8,0.8,1.5,2.5,2.6
KLINE,761,"45,390",15.4,"37,762.7",94.2,1.6,0.5,0.3,1.3,2.0
CORDOVA,762,"45,305",15.4,"37,778.1",10.3,0.6,1.3,0.8,0.5,86.5
BARAJAS,763,"45,153",15.3,"37,793.4",3.1,0.1,0.1,0.2,0.1,96.5
ROACH,764,"45,019",15.3,"37,808.7",80.3,14.0,0.5,0.8,1.8,2.7
ROSAS,765,"44,938",15.2,"37,823.9",3.9,0.3,0.5,0.2,0.1,95.1
WINTERS,766,"44,914",15.2,"37,839.1",79.1,15.1,0.5,0.8,2.1,2.4
JACOBSON,767,"44,808",15.2,"37,854.3",94.7,0.4,0.8,0.5,1.5,2.2
LESTER,768,"44,784",15.2,"37,869.5",75.8,18.6,0.4,1.2,1.8,2.2
KNOX,769,"44,742",15.2,"37,884.7",63.4,30.6,0.5,0.7,2.5,2.3
BULLOCK,770,"44,740",15.2,"37,899.8",61.6,33.0,0.5,0.6,2.2,2.2
KERR,771,"44,711",15.2,"37,915.0",86.9,7.5,0.8,0.6,1.8,2.4
LEACH,772,"44,581",15.1,"37,930.1",80.3,13.8,0.6,0.9,2.0,2.4
MEADOWS,773,"44,500",15.1,"37,945.2",81.2,14.2,0.4,0.5,1.8,1.9
ORR,774,"44,388",15.1,"37,960.2",79.4,15.0,0.7,0.8,2.0,2.2
DAVILA,774,"44,388",15.1,"37,975.3",6.6,0.7,0.3,0.2,0.2,92.0
WHITEHEAD,776,"44,373",15.0,"37,990.3",70.5,24.0,0.4,0.7,2.2,2.1
PRUITT,777,"44,365",15.0,"38,005.4",73.2,21.5,0.3,0.7,2.3,2.0
KENT,778,"44,325",15.0,"38,020.4",83.9,10.4,0.8,0.7,1.9,2.3
CONWAY,779,"44,320",15.0,"38,035.4",81.8,12.5,0.6,0.7,1.9,2.5
MCKEE,780,"44,137",15.0,"38,050.4",87.4,6.8,0.6,0.8,1.9,2.4
BARR,781,"44,130",15.0,"38,065.4",82.7,11.7,0.6,1.0,1.7,2.3
DAVID,782,"44,040",14.9,"38,080.3",59.5,14.9,13.9,1.7,2.5,7.6
DEJESUS,783,"44,038",14.9,"38,095.2",5.9,1.6,7.7,0.2,0.7,83.9
MARIN,784,"43,904",14.9,"38,110.1",11.1,1.1,0.8,0.2,0.3,86.6
BERGER,785,"43,851",14.9,"38,125.0",92.3,2.5,0.7,0.3,1.4,2.8
MCINTYRE,786,"43,842",14.9,"38,139.8",78.5,16.3,0.5,0.4,1.9,2.3
BLANKENSHIP,787,"43,830",14.9,"38,154.7",93.7,2.0,0.4,0.8,1.5,1.6
GAINES,788,"43,821",14.9,"38,169.5",42.9,50.7,0.3,0.6,3.1,2.4
PALACIOS,789,"43,798",14.9,"38,184.4",4.3,0.4,0.9,0.2,0.2,94.1
CUEVAS,790,"43,701",14.8,"38,199.2",7.4,0.3,1.7,0.2,0.2,90.2
BARTLETT,791,"43,648",14.8,"38,214.0",90.6,3.7,0.7,0.7,1.8,2.6
DURHAM,792,"43,635",14.8,"38,228.8",73.0,21.5,0.4,0.6,2.2,2.2
DORSEY,793,"43,631",14.8,"38,243.6",41.8,52.2,0.4,0.5,3.2,2.0
MCCALL,794,"43,483",14.7,"38,258.3",66.5,28.2,0.5,0.6,2.1,2.2
ODONNELL,795,"43,460",14.7,"38,273.1",95.1,0.5,0.6,0.3,1.2,2.4
STEIN,796,"43,389",14.7,"38,287.8",94.4,1.0,0.7,0.4,1.2,2.4
BROWNING,797,"43,329",14.7,"38,302.5",87.5,7.3,0.4,0.7,1.8,2.3
STOUT,798,"43,305",14.7,"38,317.1",92.1,2.3,0.7,0.9,1.7,2.4
LOWERY,799,"43,278",14.7,"38,331.8",68.0,23.0,0.4,4.5,2.2,2.1
SLOAN,800,"43,261",14.7,"38,346.5",79.4,13.9,0.6,1.8,2.1,2.3
MCLEAN,801,"43,260",14.7,"38,361.1",67.0,26.9,0.7,0.7,2.1,2.6
HENDRICKS,802,"43,197",14.6,"38,375.8",75.7,17.4,0.6,1.4,2.2,2.8
CALHOUN,803,"43,180",14.6,"38,390.4",61.7,33.0,0.5,0.5,2.3,2.1
SEXTON,804,"43,133",14.6,"38,405.0",91.4,3.6,0.5,0.7,1.6,2.1
CHUNG,805,"43,110",14.6,"38,419.7",2.3,2.3,90.0,0.0,4.0,1.4
GENTRY,806,"43,027",14.6,"38,434.2",82.1,12.2,0.4,0.7,2.1,2.5
HULL,807,"43,018",14.6,"38,448.8",85.5,8.6,0.6,0.7,1.9,2.6
DUARTE,808,"42,983",14.6,"38,463.4",16.2,1.7,0.9,0.3,1.0,80.0
ELLISON,809,"42,827",14.5,"38,477.9",65.8,28.3,0.6,0.6,2.3,2.4
NIELSEN,810,"42,773",14.5,"38,492.4",94.2,0.4,0.9,0.4,1.5,2.7
GILLESPIE,811,"42,693",14.5,"38,506.9",81.2,13.8,0.5,0.5,1.7,2.3
BUCK,812,"42,639",14.5,"38,521.3",88.1,5.7,0.8,1.4,1.9,2.1
MIDDLETON,813,"42,578",14.4,"38,535.8",66.7,28.2,0.5,0.5,2.1,2.1
SELLERS,814,"42,577",14.4,"38,550.2",76.5,17.8,0.5,1.0,2.0,2.1
LEBLANC,815,"42,575",14.4,"38,564.6",86.2,8.8,0.5,0.7,1.4,2.5
ESPARZA,816,"42,559",14.4,"38,579.1",5.1,0.1,0.2,0.2,0.2,94.2
HARDIN,817,"42,469",14.4,"38,593.5",77.7,16.0,0.6,1.4,2.2,2.2
BRADSHAW,818,"42,465",14.4,"38,607.9",78.1,16.4,0.5,0.6,2.2,2.3
MCINTOSH,819,"42,379",14.4,"38,622.2",69.8,23.8,0.6,1.1,2.5,2.3
HOWE,820,"42,265",14.3,"38,636.6",90.6,3.2,1.0,1.3,1.8,2.1
LIVINGSTON,821,"42,103",14.3,"38,650.8",72.1,20.9,0.5,1.9,2.0,2.5
FROST,822,"42,015",14.2,"38,665.1",86.5,7.7,0.7,0.9,2.0,2.2
GLASS,823,"41,802",14.2,"38,679.3",77.0,17.4,0.4,1.1,1.9,2.3
MORSE,824,"41,774",14.2,"38,693.4",90.5,4.3,0.7,0.6,1.8,2.1
KNAPP,825,"41,771",14.2,"38,707.6",94.7,0.6,0.6,0.4,1.4,2.3
HERMAN,826,"41,750",14.2,"38,721.7",90.5,3.4,0.9,1.0,1.3,2.9
STARK,827,"41,735",14.2,"38,735.9",92.5,2.3,0.6,0.7,1.5,2.5
BRAVO,828,"41,700",14.1,"38,750.0",6.2,0.7,1.9,0.3,0.4,90.6
NOBLE,829,"41,667",14.1,"38,764.1",77.7,14.4,1.7,0.7,2.1,3.4
SPEARS,830,"41,665",14.1,"38,778.3",67.0,26.3,0.5,1.6,2.5,2.2
WEEKS,831,"41,565",14.1,"38,792.4",84.4,10.0,0.6,0.8,1.8,2.5
CORONA,832,"41,553",14.1,"38,806.4",8.6,0.3,0.4,0.2,0.3,90.3
FREDERICK,833,"41,394",14.0,"38,820.5",80.1,14.1,0.6,0.8,1.9,2.4
BUCKLEY,834,"41,348",14.0,"38,834.5",83.2,11.5,0.6,0.7,1.7,2.4
MCFARLAND,835,"41,300",14.0,"38,848.5",78.9,15.6,0.6,0.6,2.1,2.2
HEBERT,836,"41,275",14.0,"38,862.5",90.4,4.9,0.5,0.6,1.4,2.4
ENRIQUEZ,837,"41,271",14.0,"38,876.5",4.0,0.6,7.9,0.4,0.6,86.5
HICKMAN,838,"41,163",14.0,"38,890.4",75.2,18.7,0.5,1.3,2.2,2.3
QUINTERO,839,"41,158",14.0,"38,904.4",4.2,0.4,0.4,0.8,0.2,94.1
RANDOLPH,840,"41,129",13.9,"38,918.3",55.9,37.7,0.5,0.7,2.9,2.4
SCHAEFER,841,"41,063",13.9,"38,932.2",95.1,0.5,0.7,0.4,1.3,2.2
WALLS,842,"41,025",13.9,"38,946.2",68.7,25.4,0.4,0.8,2.4,2.4
TREJO,843,"41,021",13.9,"38,960.1",4.0,0.4,0.1,0.3,0.2,95.1
HOUSE,844,"41,000",13.9,"38,974.0",75.1,18.7,0.4,1.5,2.3,2.1
